,trade_date,pre_close,upper_limit,lower_limit,turn_rate,adj_factor,margin_ratio,multiplier,is_adjusted,is_suspended,position,settle_price,pre_settle,conversion_price,exercise_price,is_st,symbol,sec_type1,sec_type2,board,exchange,sec_id,sec_name,sec_abbr,price_tick,trade_n,listed_date,delisted_date,underlying_symbol,option_type,option_margin_ratio1,option_margin_ratio2,call_or_put,conversion_start_date
182,2023-10-09 00:00:00+08:00,7.1,7.81,6.39,0.0946,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
183,2023-10-10 00:00:00+08:00,7.03,7.73,6.33,0.0821,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
184,2023-10-11 00:00:00+08:00,7.01,7.71,6.31,0.082,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
185,2023-10-12 00:00:00+08:00,7.02,7.72,6.32,0.1238,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
186,2023-10-13 00:00:00+08:00,7.14,7.85,6.43,0.0669,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
187,2023-10-16 00:00:00+08:00,7.1,7.81,6.39,0.0849,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
188,2023-10-17 00:00:00+08:00,7.07,7.78,6.36,0.0648,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
189,2023-10-18 00:00:00+08:00,7.09,7.8,6.38,0.0732,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
190,2023-10-19 00:00:00+08:00,7.05,7.76,6.35,0.2101,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
191,2023-10-20 00:00:00+08:00,6.84,7.52,6.16,0.1058,11.94978557,1.0,1,False,False,0,0.0,0.0,0.0,0.0,False,SHSE.600000,1010,101001,10100101,SHSE,600000,浦发银行,PFYH,0.01,1,1999-11-10 00:00:00+08:00,2038-01-01 00:00:00+08:00,,,0.0,0.0,,
